airport_id,name,city,country,iata_faa,latitude,longitude
6313,Palm Island Airport,,Australia,PMK,-18.7553,146.581
6314,Paraburdoo Airport,,Australia,PBO,-23.1711,117.745
6315,Cocos Keeling Island Airport,,Cocos (Keeling) Islands,CCK,-12.1883,96.8339
6316,Gove Airport,,Australia,GOV,-12.2694,136.818
6317,Parkes Airport,,Australia,PKE,-33.1314,148.239
6318,Port Lincoln Airport,,Australia,PLO,-34.6053,135.88
6319,Pormpuraaw Airport,,Australia,EDR,-14.8967,141.609
6320,Port Macquarie Airport,,Australia,PQQ,-31.4358,152.863
6321,Portland Airport,,Australia,PTJ,-38.3181,141.471
6322,Quilpie Airport,,Australia,ULP,-26.6122,144.253
6323,Ramingining Airport,,Australia,RAM,-12.3564,134.898
6324,Roma Airport,,Australia,RMA,-26.545,148.775
6325,St George Airport,,Australia,SGO,-28.0497,148.595
6326,Shark Bay Airport,,Australia,DNM,-25.8939,113.577
6327,Saibai Island Airport,Saibai Island,Australia,SBR,-9.37833,142.625
6328,Strahan Airport,,Australia,SRN,-42.155,145.292
6329,Thargomindah Airport,,Australia,XTG,-27.9864,143.811
6330,Tennant Creek Airport,Tennant Creek,Australia,TCA,-19.6344,134.183
6331,Victoria River Downs Airport,,Australia,VCD,-16.4033,131.002
6332,Warraber Island Airport,Sue Islet,Australia,SYU,-10.2083,142.825
6333,Windorah Airport,,Australia,WNR,-25.4131,142.667
6334,Whyalla Airport,Whyalla,Australia,WYA,-33.0589,137.514
6335,Wiluna Airport,,Australia,WUN,-26.6292,120.221
6336,Wollongong Airport,,Australia,WOL,-34.5611,150.789
6337,Winton Airport,,Australia,WIN,-22.3636,143.086
6338,Wynyard Airport,Burnie,Australia,BWT,-40.9989,145.731
6339,Yorke Island Airport,Yorke Island,Australia,OKR,-9.75703,143.411
6340,Yam Island Airport,Yam Island,Australia,XMY,-9.90111,142.776
6341,Beijing Nanyuan Airport,Beijing,China,NAY,39.7825,116.387778
6342,Chifeng Airport,Chifeng,China,CIF,42.235,118.908
6343,Changzhi Airport,Changzhi,China,CIH,36.2475,113.126
6344,Datong Airport,Datong,China,DAT,40.0603,113.482
6345,Baita Airport,Huhhot,China,HET,40.851422,111.824103
6346,Baotou Airport,Baotou,China,BAV,40.56,109.997
6347,Shijiazhuang Daguocun International Airport,Shijiazhuang,China,SJW,38.280686,114.6973
6348,Tongliao Airport,Tongliao,China,TGO,43.5567,122.2
6349,Ulanhot Airport,Ulanhot,China,HLH,46.083,122.017
6350,Xilinhot Airport,Xilinhot,China,XIL,43.9156,115.964
6351,Beihai Airport,Beihai,China,BHY,21.5394,109.294
6352,Changde Airport,Changde,China,CGD,28.9189,111.64
6353,Dayong Airport,Dayong,China,DYG,29.1028,110.443
6354,Meixian Airport,Meixian,China,MXZ,24.35,116.133
6355,Zhuhai Airport,Zhuhai,China,ZUH,22.0064,113.376
6356,Bailian Airport,Liuzhou,China,LZH,24.2075,109.391
6357,Zhanjiang Airport,Zhanjiang,China,ZHA,21.2144,110.358
6358,Enshi Airport,Enshi,China,ENH,30.3203,109.485
6359,Nanyang Airport,Nanyang,China,NNY,32.9808,112.615
